Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual_max_temp,Annual_min_temp
1900,26.6,25.9,24.9,20.6,17.3,15.8,13.9,16.1,18.1,23.7,23.1,25.2,20.9,13.5
1901,25.3,25.2,24.3,21.8,18.8,14.3,13.4,15.8,21.1,21.7,24.6,25.3,21,13.2
1902,25.6,26.2,23.8,21,18.2,16.2,15.2,15.2,18.9,21,24.7,25.7,21,13.6
1903,25.2,27.2,25.9,22.1,17.7,15.4,14,15.7,19.6,19.2,22,24.2,20.7,13.7
1904,25.2,24.5,22.6,20.9,18.5,15,14.5,16.8,18.9,21.9,25.8,26.6,20.9,13.4
1905,26.2,25.2,24.2,22,18.8,16.2,15,16.9,18,19.6,24.8,23.5,20.9,13.1
1906,25.5,25.9,23.7,24.3,19.5,16.9,16.6,16.5,18.1,23.1,23.1,24.9,21.5,13.5
1907,25.8,25,23.5,22.2,18.6,14.9,15.4,18.5,21.8,22.7,22.7,25.9,21.4,13.3
1908,27.5,25.4,24.9,21.8,19.3,14.4,14.5,16.2,18.6,21.4,24.3,26.8,21.3,13.2
1909,26.5,24.1,24.7,21.5,18.7,16.4,14.4,16.5,17.8,22.3,23.9,26,21.1,12.9
1910,25.9,26.1,23.2,22.2,19.5,16.2,15.3,18.6,19.6,21.4,23,25.5,21.4,13.5
1911,24.5,25.4,24.1,21.3,19,15.4,15.1,17,20.3,21.5,24.9,27.6,21.3,13.4
1912,25.9,25.5,24.2,21.5,17.8,16.1,14.7,17,21,23.2,24.4,25.1,21.4,13.6
1913,26.8,26.9,25.3,21.7,17.3,15.1,15.8,17.5,19.9,23,24.1,25.3,21.6,13.8
1914,27.2,25.5,24.6,24.2,19,16.8,14.6,18.2,19.4,23,25.4,26.5,22,14.6
1915,26.7,27.6,25.9,21.2,17.9,16.8,16.1,17.2,21.5,22.4,26,23,21.9,13.7
1916,27.1,26.2,23.8,22,19.3,16.1,15.4,17,19.7,20.2,21.9,24.5,21.1,13.7
1917,27.4,24.8,25.1,20.1,17.4,15.8,15.7,16.7,20.1,21.3,22,25.2,21,13.3
1918,24.5,24.8,24.2,21.8,21,18.4,16.4,18.6,20.1,22.2,22.9,26.6,21.8,12.9
1919,26.8,27.3,25.5,23.7,20.3,18.7,17.6,18.6,22.1,22.1,23.3,25.4,22.6,13.9
1920,24.5,25.6,24,21.5,20.4,18.5,16.5,17.5,19.4,21.9,25.3,25.1,21.7,13
1921,25,26,25,23.1,20.1,19,18.5,18.2,22,21.1,24.9,24.1,22.2,13.7
1922,26,25.7,26.2,25.6,19.5,17.7,16.6,17.7,19.5,23.5,25.4,27,22.5,13.6
1923,26.6,26.6,26.6,21.7,21.7,18.3,16.3,17.4,21.3,22,23.6,26.6,22.4,13.6
1924,26.8,27.2,24.6,21.8,19.8,16.8,17.6,18.2,20.8,23.2,22.7,22.5,21.8,13
1925,24.1,26.6,23.8,23.4,19.4,17.7,16.7,16.3,19.5,21.8,22.5,25.3,21.4,13.2
1926,26.2,28.7,24.4,23.5,18.6,18,17.8,18.8,20.4,24.7,25.3,23.7,22.5,13.6
1927,25,25.3,24.6,21.1,19.3,16,17.5,18.5,18.2,22.3,22.2,23.9,21.2,12.8
1928,25.8,25.8,25.9,23.7,18.9,16.8,17.3,19.8,23.1,23.7,24,23.8,22.4,14
1929,27.1,25.3,24.1,22.8,19.1,17.2,16.3,18,18.7,20.1,21.9,26.4,21.4,13.3
1930,24.3,25.9,23.2,20.9,18.8,16.5,17.6,18.3,20.6,21.9,24.3,24.5,21.4,13.8
1931,26.3,25,24.8,21.3,20.2,17.9,17.5,18.9,20.5,21.2,22.6,22.8,21.6,13.4
1932,26.4,25.5,24.6,22.6,19,17.2,16.4,18.5,18.3,20.9,24.2,24.6,21.5,13.3
1933,24.6,25.5,23.6,21.7,19.7,17.5,16.2,16.8,18.8,22,20.7,24.1,20.9,13.3
1934,26,24.7,25.4,21.7,19.9,16.4,17,17.5,20.8,20.7,22.4,22.6,21.3,13.4
