Date,Year,Month,avg_max_temp,avg_min_temp
1/1/1900,1900,1,26.6,18.5
1/2/1900,1900,2,25.9,19.2
1/3/1900,1900,3,24.9,17.8
1/4/1900,1900,4,20.6,13.7
1/5/1900,1900,5,17.3,10.9
1/6/1900,1900,6,15.8,10.8
1/7/1900,1900,7,13.9,7.4
1/8/1900,1900,8,16.1,8
1/9/1900,1900,9,18.1,9.9
1/10/1900,1900,10,23.7,12.7
1/11/1900,1900,11,23.1,15.6
1/12/1900,1900,12,25.2,17.5
1/1/1901,1901,1,25.3,17.1
1/2/1901,1901,2,25.2,18.3
1/3/1901,1901,3,24.3,17.1
1/4/1901,1901,4,21.8,14.9
1/5/1901,1901,5,18.8,11.1
1/6/1901,1901,6,14.3,7.1
1/7/1901,1901,7,13.4,6.9
1/8/1901,1901,8,15.8,8.2
1/9/1901,1901,9,21.1,12.2
1/10/1901,1901,10,21.7,13.5
1/11/1901,1901,11,24.6,15.6
1/12/1901,1901,12,25.3,16.8
1/1/1902,1902,1,25.6,17.9
1/2/1902,1902,2,26.2,18.3
1/3/1902,1902,3,23.8,16.6
1/4/1902,1902,4,21,13.9
1/5/1902,1902,5,18.2,10.8
1/6/1902,1902,6,16.2,9.2
1/7/1902,1902,7,15.2,7.8
1/8/1902,1902,8,15.2,8.3
1/9/1902,1902,9,18.9,11.2
1/10/1902,1902,10,21,14.1
1/11/1902,1902,11,24.7,17.3
1/12/1902,1902,12,25.7,18.3
1/1/1903,1903,1,25.2,18.1
1/2/1903,1903,2,27.2,18.8
1/3/1903,1903,3,25.9,19.3
1/4/1903,1903,4,22.1,14.9
1/5/1903,1903,5,17.7,11.4
1/6/1903,1903,6,15.4,8.7
1/7/1903,1903,7,14,7.9
1/8/1903,1903,8,15.7,8.6
1/9/1903,1903,9,19.6,11.6
1/10/1903,1903,10,19.2,13
1/11/1903,1903,11,22,14.9
1/12/1903,1903,12,24.2,17.4
1/1/1904,1904,1,25.2,18.1
1/2/1904,1904,2,24.5,17.4
1/3/1904,1904,3,22.6,16.4
1/4/1904,1904,4,20.9,15.1
1/5/1904,1904,5,18.5,12.2
1/6/1904,1904,6,15,6.9
1/7/1904,1904,7,14.5,8.6
1/8/1904,1904,8,16.8,8.4
1/9/1904,1904,9,18.9,9.4
1/10/1904,1904,10,21.9,13.3
1/11/1904,1904,11,25.8,16.6
1/12/1904,1904,12,26.6,18
1/1/1905,1905,1,26.2,18.9
1/2/1905,1905,2,25.2,18.3
1/3/1905,1905,3,24.2,17.7
1/4/1905,1905,4,22,15.7
1/5/1905,1905,5,18.8,11.9
1/6/1905,1905,6,16.2,8.8
1/7/1905,1905,7,15,6.9
1/8/1905,1905,8,16.9,8
1/9/1905,1905,9,18,8.5
1/10/1905,1905,10,19.6,10.5
1/11/1905,1905,11,24.8,14.9
1/12/1905,1905,12,23.5,16.5
1/1/1906,1906,1,25.5,17.9
1/2/1906,1906,2,25.9,19.2
1/3/1906,1906,3,23.7,16.5
1/4/1906,1906,4,24.3,15.4
1/5/1906,1906,5,19.5,12.2
1/6/1906,1906,6,16.9,9.7
1/7/1906,1906,7,16.6,7.8
1/8/1906,1906,8,16.5,8.6
1/9/1906,1906,9,18.1,10.8
1/10/1906,1906,10,23.1,13.6
1/11/1906,1906,11,23.1,14.1
1/12/1906,1906,12,24.9,16.7
1/1/1907,1907,1,25.8,18.3
1/2/1907,1907,2,25,17.6
1/3/1907,1907,3,23.5,16.2
1/4/1907,1907,4,22.2,13.9
1/5/1907,1907,5,18.6,11
1/6/1907,1907,6,14.9,9.4
1/7/1907,1907,7,15.4,7
1/8/1907,1907,8,18.5,8.6
1/9/1907,1907,9,21.8,11
1/10/1907,1907,10,22.7,14.2
1/11/1907,1907,11,22.7,15.7
1/12/1907,1907,12,25.9,17.2
1/1/1908,1908,1,27.5,19
1/2/1908,1908,2,25.4,18.8
1/3/1908,1908,3,24.9,17.2
1/4/1908,1908,4,21.8,14.2
1/5/1908,1908,5,19.3,11.7
1/6/1908,1908,6,14.4,7
1/7/1908,1908,7,14.5,6.9
1/8/1908,1908,8,16.2,8.2
1/9/1908,1908,9,18.6,9.9
1/10/1908,1908,10,21.4,12
1/11/1908,1908,11,24.3,15.8
1/12/1908,1908,12,26.8,17.8
1/1/1909,1909,1,26.5,18
1/2/1909,1909,2,24.1,16.6
1/3/1909,1909,3,24.7,17
1/4/1909,1909,4,21.5,13
1/5/1909,1909,5,18.7,10.6
1/6/1909,1909,6,16.4,9.3
1/7/1909,1909,7,14.4,6.6
1/8/1909,1909,8,16.5,8.1
1/9/1909,1909,9,17.8,10.1
1/10/1909,1909,10,22.3,13.8
1/11/1909,1909,11,23.9,15.1
1/12/1909,1909,12,26,16.3
1/1/1910,1910,1,25.9,17.9
1/2/1910,1910,2,26.1,17.9
1/3/1910,1910,3,23.2,17
1/4/1910,1910,4,22.2,14.4
1/5/1910,1910,5,19.5,11.7
1/6/1910,1910,6,16.2,9.6
1/7/1910,1910,7,15.3,8.2
1/8/1910,1910,8,18.6,9.5
1/9/1910,1910,9,19.6,12.1
1/10/1910,1910,10,21.4,12.4
1/11/1910,1910,11,23,14.5
1/12/1910,1910,12,25.5,16.9
1/1/1911,1911,1,24.5,18.2
1/2/1911,1911,2,25.4,18.4
1/3/1911,1911,3,24.1,16.5
1/4/1911,1911,4,21.3,13
1/5/1911,1911,5,19,11.4
1/6/1911,1911,6,15.4,7.8
1/7/1911,1911,7,15.1,8.3
1/8/1911,1911,8,17,9
1/9/1911,1911,9,20.3,11.5
1/10/1911,1911,10,21.5,13.2
1/11/1911,1911,11,24.9,15.9
1/12/1911,1911,12,27.6,18
1/1/1912,1912,1,25.9,17.7
1/2/1912,1912,2,25.5,19
1/3/1912,1912,3,24.2,17.4
1/4/1912,1912,4,21.5,13.8
1/5/1912,1912,5,17.8,10.4
1/6/1912,1912,6,16.1,9
1/7/1912,1912,7,14.7,8.4
1/8/1912,1912,8,17,8.9
1/9/1912,1912,9,21,11.6
1/10/1912,1912,10,23.2,13.4
1/11/1912,1912,11,24.4,15.9
1/12/1912,1912,12,25.1,17.4
1/1/1913,1913,1,26.8,18.8
1/2/1913,1913,2,26.9,19.2
1/3/1913,1913,3,25.3,16.6
1/4/1913,1913,4,21.7,15.2
1/5/1913,1913,5,17.3,11.3
1/6/1913,1913,6,15.1,8.9
1/7/1913,1913,7,15.8,8.6
1/8/1913,1913,8,17.5,8.8
1/9/1913,1913,9,19.9,11
1/10/1913,1913,10,23,14.6
1/11/1913,1913,11,24.1,15.1
1/12/1913,1913,12,25.3,17.2
1/1/1914,1914,1,27.2,18.4
1/2/1914,1914,2,25.5,19.2
1/3/1914,1914,3,24.6,18.4
1/4/1914,1914,4,24.2,16
1/5/1914,1914,5,19,12.6
1/6/1914,1914,6,16.8,9.4
1/7/1914,1914,7,14.6,8.6
1/8/1914,1914,8,18.2,10
1/9/1914,1914,9,19.4,11.5
1/10/1914,1914,10,23,14.1
1/11/1914,1914,11,25.4,18.5
1/12/1914,1914,12,26.5,18.8
1/1/1915,1915,1,26.7,18.2
1/2/1915,1915,2,27.6,19.8
1/3/1915,1915,3,25.9,18.4
1/4/1915,1915,4,21.2,14.6
1/5/1915,1915,5,17.9,11
1/6/1915,1915,6,16.8,8.9
1/7/1915,1915,7,16.1,8.6
1/8/1915,1915,8,17.2,9.2
1/9/1915,1915,9,21.5,11.5
1/10/1915,1915,10,22.4,13.1
1/11/1915,1915,11,26,14.7
1/12/1915,1915,12,23,16.5
1/1/1916,1916,1,27.1,19.1
1/2/1916,1916,2,26.2,18.6
1/3/1916,1916,3,23.8,16.9
1/4/1916,1916,4,22,14.2
1/5/1916,1916,5,19.3,11.3
1/6/1916,1916,6,16.1,10.5
1/7/1916,1916,7,15.4,8.3
1/8/1916,1916,8,17,9.2
1/9/1916,1916,9,19.7,11.7
1/10/1916,1916,10,20.2,13.4
1/11/1916,1916,11,21.9,14.2
1/12/1916,1916,12,24.5,16.9
1/1/1917,1917,1,27.4,19.5
1/2/1917,1917,2,24.8,17.5
1/3/1917,1917,3,25.1,16.7
1/4/1917,1917,4,20.1,12.6
1/5/1917,1917,5,17.4,10
1/6/1917,1917,6,15.8,9.4
1/7/1917,1917,7,15.7,8.7
1/8/1917,1917,8,16.7,8.2
1/9/1917,1917,9,20.1,11.5
1/10/1917,1917,10,21.3,13.5
1/11/1917,1917,11,22,15
1/12/1917,1917,12,25.2,17.5
1/1/1918,1918,1,24.5,18.2
1/2/1918,1918,2,24.8,17.5
1/3/1918,1918,3,24.2,16
1/4/1918,1918,4,21.8,13.5
1/5/1918,1918,5,21,11.4
1/6/1918,1918,6,18.4,8.1
1/7/1918,1918,7,16.4,6.9
1/8/1918,1918,8,18.6,9.3
1/9/1918,1918,9,20.1,10.2
1/10/1918,1918,10,22.2,11.9
1/11/1918,1918,11,22.9,15.3
1/12/1918,1918,12,26.6,16.6
1/1/1919,1919,1,26.8,18.6
1/2/1919,1919,2,27.3,19.1
1/3/1919,1919,3,25.5,17.2
1/4/1919,1919,4,23.7,14.7
1/5/1919,1919,5,20.3,13.8
1/6/1919,1919,6,18.7,9.6
1/7/1919,1919,7,17.6,7.6
1/8/1919,1919,8,18.6,8.2
1/9/1919,1919,9,22.1,10.6
1/10/1919,1919,10,22.1,13.1
1/11/1919,1919,11,23.3,15.9
1/12/1919,1919,12,25.4,18
1/1/1920,1920,1,24.5,17.4
1/2/1920,1920,2,25.6,17.6
1/3/1920,1920,3,24,15.4
1/4/1920,1920,4,21.5,13.3
1/5/1920,1920,5,20.4,9.8
1/6/1920,1920,6,18.5,8.9
1/7/1920,1920,7,16.5,8.4
1/8/1920,1920,8,17.5,7.8
1/9/1920,1920,9,19.4,10.8
1/10/1920,1920,10,21.9,13.3
1/11/1920,1920,11,25.3,16
1/12/1920,1920,12,25.1,17.6
1/1/1921,1921,1,25,17.8
1/2/1921,1921,2,26,18.4
1/3/1921,1921,3,25,17.1
1/4/1921,1921,4,23.1,14.8
1/5/1921,1921,5,20.1,12.9
1/6/1921,1921,6,19,9.4
1/7/1921,1921,7,18.5,9.7
1/8/1921,1921,8,18.2,7.3
1/9/1921,1921,9,22,11.5
1/10/1921,1921,10,21.1,11.9
1/11/1921,1921,11,24.9,16.5
1/12/1921,1921,12,24.1,17.4
1/1/1922,1922,1,26,17.4
1/2/1922,1922,2,25.7,18.6
1/3/1922,1922,3,26.2,15.9
1/4/1922,1922,4,25.6,15.6
1/5/1922,1922,5,19.5,11.8
1/6/1922,1922,6,17.7,8.8
1/7/1922,1922,7,16.6,8.1
1/8/1922,1922,8,17.7,8.2
1/9/1922,1922,9,19.5,11.2
1/10/1922,1922,10,23.5,13.6
1/11/1922,1922,11,25.4,15.3
1/12/1922,1922,12,27,18.1
1/1/1923,1923,1,26.6,17.8
1/2/1923,1923,2,26.6,18.4
1/3/1923,1923,3,26.6,18
1/4/1923,1923,4,21.7,14.8
1/5/1923,1923,5,21.7,12.4
1/6/1923,1923,6,18.3,10
1/7/1923,1923,7,16.3,8.2
1/8/1923,1923,8,17.4,8.7
1/9/1923,1923,9,21.3,10.5
1/10/1923,1923,10,22,12.9
1/11/1923,1923,11,23.6,13.5
1/12/1923,1923,12,26.6,17.9
1/1/1924,1924,1,26.8,18
1/2/1924,1924,2,27.2,18.5
1/3/1924,1924,3,24.6,17
1/4/1924,1924,4,21.8,13.6
1/5/1924,1924,5,19.8,10.7
1/6/1924,1924,6,16.8,8.6
1/7/1924,1924,7,17.6,8.1
1/8/1924,1924,8,18.2,8.5
1/9/1924,1924,9,20.8,11.2
1/10/1924,1924,10,23.2,13.2
1/11/1924,1924,11,22.7,14.6
1/12/1924,1924,12,22.5,14.5
1/1/1925,1925,1,24.1,17.4
1/2/1925,1925,2,26.6,18.5
1/3/1925,1925,3,23.8,16.2
1/4/1925,1925,4,23.4,14.7
1/5/1925,1925,5,19.4,12.3
1/6/1925,1925,6,17.7,10.3
1/7/1925,1925,7,16.7,7.3
1/8/1925,1925,8,16.3,8
1/9/1925,1925,9,19.5,8.7
1/10/1925,1925,10,21.8,11.9
1/11/1925,1925,11,22.5,15.3
1/12/1925,1925,12,25.3,17.4
1/1/1926,1926,1,26.2,18.2
1/2/1926,1926,2,28.7,20
1/3/1926,1926,3,24.4,17.4
1/4/1926,1926,4,23.5,14.5
1/5/1926,1926,5,18.6,10.9
1/6/1926,1926,6,18,9.8
1/7/1926,1926,7,17.8,8.3
1/8/1926,1926,8,18.8,8.8
1/9/1926,1926,9,20.4,10.5
1/10/1926,1926,10,24.7,13
1/11/1926,1926,11,25.3,15
1/12/1926,1926,12,23.7,16.2
1/1/1927,1927,1,25,18
1/2/1927,1927,2,25.3,17.5
1/3/1927,1927,3,24.6,16.9
1/4/1927,1927,4,21.1,13.9
1/5/1927,1927,5,19.3,10.3
1/6/1927,1927,6,16,7.6
1/7/1927,1927,7,17.5,7
1/8/1927,1927,8,18.5,7.6
1/9/1927,1927,9,18.2,9.7
1/10/1927,1927,10,22.3,13.2
1/11/1927,1927,11,22.2,15.5
1/12/1927,1927,12,23.9,17
1/1/1928,1928,1,25.8,18.2
1/2/1928,1928,2,25.8,19.8
1/3/1928,1928,3,25.9,17.7
1/4/1928,1928,4,23.7,16
1/5/1928,1928,5,18.9,10.2
1/6/1928,1928,6,16.8,9.3
1/7/1928,1928,7,17.3,8.8
1/8/1928,1928,8,19.8,10.4
1/9/1928,1928,9,23.1,11.7
1/10/1928,1928,10,23.7,13.8
1/11/1928,1928,11,24,14.8
1/12/1928,1928,12,23.8,17.5
1/1/1929,1929,1,27.1,19.9
1/2/1929,1929,2,25.3,19.7
1/3/1929,1929,3,24.1,17.4
1/4/1929,1929,4,22.8,13.8
1/5/1929,1929,5,19.1,11
1/6/1929,1929,6,17.2,8.6
1/7/1929,1929,7,16.3,6.3
1/8/1929,1929,8,18,8.1
1/9/1929,1929,9,18.7,9.8
1/10/1929,1929,10,20.1,13.2
1/11/1929,1929,11,21.9,14.4
1/12/1929,1929,12,26.4,17.8
1/1/1930,1930,1,24.3,18
1/2/1930,1930,2,25.9,19.4
1/3/1930,1930,3,23.2,16.9
1/4/1930,1930,4,20.9,13.6
1/5/1930,1930,5,18.8,10.8
1/6/1930,1930,6,16.5,10.7
1/7/1930,1930,7,17.6,9
1/8/1930,1930,8,18.3,8.8
1/9/1930,1930,9,20.6,10.2
1/10/1930,1930,10,21.9,14.5
1/11/1930,1930,11,24.3,16
1/12/1930,1930,12,24.5,17.6
1/1/1931,1931,1,26.3,18.3
1/2/1931,1931,2,25,18.1
1/3/1931,1931,3,24.8,18
1/4/1931,1931,4,21.3,14.4
1/5/1931,1931,5,20.2,12.4
1/6/1931,1931,6,17.9,9.3
1/7/1931,1931,7,17.5,7.5
1/8/1931,1931,8,18.9,8.7
1/9/1931,1931,9,20.5,10.4
1/10/1931,1931,10,21.2,12
1/11/1931,1931,11,22.6,15.4
1/12/1931,1931,12,22.8,16.6
1/1/1932,1932,1,26.4,19
1/2/1932,1932,2,25.5,18.3
1/3/1932,1932,3,24.6,17.8
1/4/1932,1932,4,22.6,14.2
1/5/1932,1932,5,19,11.4
1/6/1932,1932,6,17.2,7.8
1/7/1932,1932,7,16.4,6.9
1/8/1932,1932,8,18.5,8.5
1/9/1932,1932,9,18.3,10.9
1/10/1932,1932,10,20.9,12.6
1/11/1932,1932,11,24.2,16
1/12/1932,1932,12,24.6,16.7
1/1/1933,1933,1,24.6,18.4
1/2/1933,1933,2,25.5,17.3
1/3/1933,1933,3,23.6,17.6
1/4/1933,1933,4,21.7,13.5
1/5/1933,1933,5,19.7,11.2
1/6/1933,1933,6,17.5,9.2
1/7/1933,1933,7,16.2,9.2
1/8/1933,1933,8,16.8,6.7
1/9/1933,1933,9,18.8,11
1/10/1933,1933,10,22,13.7
1/11/1933,1933,11,20.7,14.8
1/12/1933,1933,12,24.1,16.9
1/1/1934,1934,1,26,18.4
1/2/1934,1934,2,24.7,18.2
1/3/1934,1934,3,25.4,17.7
1/4/1934,1934,4,21.7,14.1
1/5/1934,1934,5,19.9,11.6
1/6/1934,1934,6,16.4,8.6
1/7/1934,1934,7,17,8.8
1/8/1934,1934,8,17.5,8.9
1/9/1934,1934,9,20.8,11.4
1/10/1934,1934,10,20.7,12.3
1/11/1934,1934,11,22.4,15.4
1/12/1934,1934,12,22.6,15.8
1/1/1935,1935,1,25.6,17.9
1/2/1935,1935,2,26.2,18.2
1/3/1935,1935,3,25,15.8
1/4/1935,1935,4,22.8,13.1
1/5/1935,1935,5,19.3,10
1/6/1935,1935,6,17,7.8
1/7/1935,1935,7,16.9,7.6
1/8/1935,1935,8,19.3,8.4
1/9/1935,1935,9,18.9,9.7
1/10/1935,1935,10,22.7,13.5
1/11/1935,1935,11,22.9,14.9
1/12/1935,1935,12,23.7,18.6
1/1/1936,1936,1,24.6,18.4
