country,year,pop,continent,lifeExp,gdpPercap
Afghanistan,1997,22227415.0,Asia,41.763000000000005,635.341351
Albania,1997,3428038.0,Europe,72.95,3193.054604
Algeria,1997,29072015.0,Africa,69.152,4797.295051
Angola,1997,9875024.0,Africa,40.963,2277.140884
Argentina,1997,36203463.0,Americas,73.275,10967.28195
Australia,1997,18565243.0,Oceania,78.83,26997.936569999998
Austria,1997,8069876.0,Europe,77.51,29095.920660000003
Bahrain,1997,598561.0,Asia,73.925,20292.01679
Bangladesh,1997,123315288.0,Asia,59.412,972.7700352
Belgium,1997,10199787.0,Europe,77.53,27561.196630000002
Benin,1997,6066080.0,Africa,54.777,1232.975292
Bolivia,1997,7693188.0,Americas,62.05,3326.143191
Bosnia and Herzegovina,1997,3607000.0,Europe,73.244,4766.355904
Botswana,1997,1536536.0,Africa,52.556000000000004,8647.142313
Brazil,1997,168546719.0,Americas,69.388,7957.980823999999
Bulgaria,1997,8066057.0,Europe,70.32,5970.38876
Burkina Faso,1997,10352843.0,Africa,50.324,946.2949617999999
Burundi,1997,6121610.0,Africa,45.326,463.1151478
Cambodia,1997,11782962.0,Asia,56.534,734.28517
Cameroon,1997,14195809.0,Africa,52.199,1694.337469
Canada,1997,30305843.0,Americas,78.61,28954.92589
Central African Republic,1997,3696513.0,Africa,46.066,740.5063317
Chad,1997,7562011.0,Africa,51.573,1004.9613529999999
Chile,1997,14599929.0,Americas,75.816,10118.053179999999
China,1997,1230075000.0,Asia,70.426,2289.234136
Colombia,1997,37657830.0,Americas,70.313,6117.3617460000005
Comoros,1997,527982.0,Africa,60.66,1173.618235
Congo Dem. Rep.,1997,47798986.0,Africa,42.586999999999996,312.188423
Congo Rep.,1997,2800947.0,Africa,52.961999999999996,3484.1643759999997
Costa Rica,1997,3518107.0,Americas,77.26,6677.045314
Cote d'Ivoire,1997,14625967.0,Africa,47.99100000000001,1786.265407
Croatia,1997,4444595.0,Europe,73.68,9875.604515
Cuba,1997,10983007.0,Americas,76.15100000000001,5431.990415
Czech Republic,1997,10300707.0,Europe,74.01,16048.51424
Denmark,1997,5283663.0,Europe,76.11,29804.34567
Djibouti,1997,417908.0,Africa,53.157,1895.016984
Dominican Republic,1997,7992357.0,Americas,69.957,3614.101285
Ecuador,1997,11911819.0,Americas,72.312,7429.455876999999
Egypt,1997,66134291.0,Africa,67.217,4173.181797
El Salvador,1997,5783439.0,Americas,69.535,5154.825496
Equatorial Guinea,1997,439971.0,Africa,48.245,2814.480755
Eritrea,1997,4058319.0,Africa,53.378,913.4707900000001
Ethiopia,1997,59861301.0,Africa,49.402,515.8894013
Finland,1997,5134406.0,Europe,77.13,23723.9502
France,1997,58623428.0,Europe,78.64,25889.78487
Gabon,1997,1126189.0,Africa,60.461000000000006,14722.841880000002
Gambia,1997,1235767.0,Africa,55.861000000000004,653.7301704
Germany,1997,82011073.0,Europe,77.34,27788.88416
Ghana,1997,18418288.0,Africa,58.556000000000004,1005.2458119999999
Greece,1997,10502372.0,Europe,77.869,18747.69814
Guatemala,1997,9803875.0,Americas,66.322,4684.313807
Guinea,1997,8048834.0,Africa,51.455,869.4497667999999
Guinea-Bissau,1997,1193708.0,Africa,44.873000000000005,796.6644681
Haiti,1997,6913545.0,Americas,56.67100000000001,1341.7269310000001
Honduras,1997,5867957.0,Americas,67.65899999999999,3160.454906
Hong Kong China,1997,6495918.0,Asia,80.0,28377.632189999997
Hungary,1997,10244684.0,Europe,71.04,11712.7768
Iceland,1997,271192.0,Europe,78.95,28061.099660000003
India,1997,959000000.0,Asia,61.765,1458.817442
Indonesia,1997,199278000.0,Asia,66.041,3119.335603
Iran,1997,63327987.0,Asia,68.042,8263.590301
Iraq,1997,20775703.0,Asia,58.81100000000001,3076.239795
Ireland,1997,3667233.0,Europe,76.122,24521.94713
Israel,1997,5531387.0,Asia,78.26899999999999,20896.60924
Italy,1997,57479469.0,Europe,78.82,24675.02446
Jamaica,1997,2531311.0,Americas,72.262,7121.924704000001
Japan,1997,125956499.0,Asia,80.69,28816.58499
Jordan,1997,4526235.0,Asia,69.77199999999999,3645.379572
Kenya,1997,28263827.0,Africa,54.407,1360.4850210000002
Korea Dem. Rep.,1997,21585105.0,Asia,67.727,1690.756814
Korea Rep.,1997,46173816.0,Asia,74.64699999999999,15993.52796
Kuwait,1997,1765345.0,Asia,76.156,40300.61996
Lebanon,1997,3430388.0,Asia,70.265,8754.96385
Lesotho,1997,1982823.0,Africa,55.558,1186.147994
Liberia,1997,2200725.0,Africa,42.221000000000004,609.1739508
Libya,1997,4759670.0,Africa,71.555,9467.446056
Madagascar,1997,14165114.0,Africa,54.978,986.2958956
Malawi,1997,10419991.0,Africa,47.495,692.2758102999999
Malaysia,1997,20476091.0,Asia,71.938,10132.90964
Mali,1997,9384984.0,Africa,49.903,790.2579846
Mauritania,1997,2444741.0,Africa,60.43,1483.1361359999999
Mauritius,1997,1149818.0,Africa,70.736,7425.705295000001
Mexico,1997,95895146.0,Americas,73.67,9767.29753
Mongolia,1997,2494803.0,Asia,63.625,1902.2521
Montenegro,1997,692651.0,Europe,75.445,6465.613349
Morocco,1997,28529501.0,Africa,67.66,2982.101858
Mozambique,1997,16603334.0,Africa,46.343999999999994,472.34607710000006
Myanmar,1997,43247867.0,Asia,60.328,415.0
Namibia,1997,1774766.0,Africa,58.909,3899.52426
Nepal,1997,23001113.0,Asia,59.426,1010.892138
Netherlands,1997,15604464.0,Europe,78.03,30246.13063
New Zealand,1997,3676187.0,Oceania,77.55,21050.41377
Nicaragua,1997,4609572.0,Americas,68.426,2253.023004
Niger,1997,9666252.0,Africa,51.313,580.3052092
Nigeria,1997,106207839.0,Africa,47.464,1624.941275
Norway,1997,4405672.0,Europe,78.32,41283.16433
Oman,1997,2283635.0,Asia,72.499,19702.055809999998
Pakistan,1997,135564834.0,Asia,61.818000000000005,2049.3505210000003
Panama,1997,2734531.0,Americas,73.738,7113.692252
Paraguay,1997,5154123.0,Americas,69.4,4247.400261
